西船橋,南船橋,5.4,京葉
千葉,本千葉,1.4,外房
本千葉,蘇我,2.4,外房
蘇我,鎌取,5.0,外房
鎌取,誉田,3.8,外房
誉田,土気,5.5,外房
土気,大網,4.8,外房
大網,永田,2.4,外房
永田,本納,2.4,外房
本納,新茂原,3.7,外房
新茂原,茂原,2.9,外房
茂原,八積,4.6,外房
八積,上総一ノ宮,4.1,外房
上総一ノ宮,東浪見,3.2,外房
東浪見,太東,3.1,外房
太東,長者町,2.8,外房
長者町,三門,1.6,外房
三門,大原,3.5,外房
大原,浪花,3.3,外房
浪花,御宿,4.9,外房
御宿,勝浦,5.5,外房
勝浦,鵜原,3.6,外房
鵜原,上総興津,2.7,外房
上総興津,行川アイランド,3.3,外房
行川アイランド,安房小湊,3.8,外房
安房小湊,安房天津,3.4,外房
安房天津,安房鴨川,5.6,外房
蘇我,浜野,3.4,内房
浜野,八幡宿,2.2,内房
八幡宿,五井,3.7,内房
五井,姉ケ崎,5.8,内房
姉ケ崎,長浦,5.4,内房
長浦,袖ケ浦,3.9,内房
袖ケ浦,巌根,3.1,内房
巌根,木更津,3.8,内房
木更津,君津,7.0,内房
君津,青堀,3.7,内房
青堀,大貫,4.6,内房
大貫,佐貫町,4.1,内房
佐貫町,上総湊,4.4,内房
上総湊,竹岡,5.1,内房
竹岡,浜金谷,3.8,内房
浜金谷,保田,3.5,内房
保田,安房勝山,3.3,内房
安房勝山,岩井,2.9,内房
岩井,(房)富浦,6.1,内房
(房)富浦,那古船形,2.3,内房
那古船形,館山,3.8,内房
館山,九重,5.8,内房
九重,千倉,4.9,内房
千倉,(房)千歳,2.0,内房
(房)千歳,南三原,3.6,内房
南三原,和田浦,4.6,内房
和田浦,江見,4.6,内房
江見,太海,4.6,内房
太海,安房鴨川,3.4,内房
佐倉,酒々井,6.4,成田
酒々井,成田,6.7,成田
成田,久住,6.9,成田
久住,滑河,5.5,成田
滑河,下総神崎,6.1,成田
下総神崎,大戸,4.5,成田
大戸,佐原,3.9,成田
佐原,香取,3.6,成田
香取,水郷,3.9,成田
水郷,小見川,5.2,成田
小見川,笹川,5.0,成田
笹川,下総橘,5.2,成田
下総橘,下総豊里,3.3,成田
下総豊里,椎柴,4.8,成田
椎柴,松岸,4.4,成田
成田,空港第2ビル,9.8,成田
空港第2ビル,成田空港,1.0,成田
我孫子,東我孫子,3.4,成田
東我孫子,湖北,2.9,成田
湖北,新木,2.6,成田
新木,布佐,3.2,成田
布佐,木下,1.9,成田
木下,(成)小林,4.3,成田
(成)小林,安食,4.9,成田
安食,下総松崎,4.6,成田
下総松崎,成田,5.1,成田
香取,十二橋,3.0,鹿島
十二橋,潮来,2.2,鹿島
潮来,延方,5.2,鹿島
延方,鹿島神宮,3.8,鹿島
鹿島神宮,（臨）鹿島サッカースタジアム,3.2,鹿島
木更津,祇園,2.6,久留里
祇園,上総清川,1.6,久留里
上総清川,東清川,1.9,久留里
東清川,横田,3.2,久留里
横田,東横田,1.5,久留里
東横田,馬来田,3.1,久留里
馬来田,下郡,1.3,久留里
下郡,小櫃,3.0,久留里
小櫃,俵田,1.8,久留里
俵田,久留里,2.6,久留里
久留里,平山,3.1,久留里
平山,上総松丘,2.6,久留里
上総松丘,上総亀山,3.9,久留里
大網,福俵,3.3,東金
福俵,東金,2.5,東金
東金,求名,3.8,東金
求名,成東,4.2,東金
